Wafer_ID,Batch_ID,Timestamp,Chamber_Vacuum_Torr,Gas_Flow_SiH4_sccm,RF_Reflected_Power_W,Plasma_Density_e11_cm3,Etch_Rate_A_min,CMP_Pad_Wear_um,Deposition_Temp_C,Photolitho_Dose_mJ_cm2,Leakage_Current_uA,Chamber_Pressure_mTorr,Wafer_Thickness_um,Wafer_Bow_um,Gate_Oxide_Thickness_A,Particle_Count_10nm,Wafer_Resistivity_Ohm_cm,Yield_Status
WFR-1387,FAB-BATCH-106,08-08-2026 20:08,1.2637,146.36,440.21,11.96,2199,23.39,343.63,23.83,0.0461,12.43,771.13,10.2,45.12,10,1.871,0
WFR-1388,FAB-BATCH-106,08-08-2026 20:36,1.325,151.91,450.94,13.627,2143.1,18.29,363.97,23.82,0.0331,11.67,776.99,12.46,44.81,8,1.855,0
WFR-1389,FAB-BATCH-106,08-08-2026 21:04,1.288,147.87,460.34,12.659,2233.7,23.32,358.22,25.55,,11.71,775.24,12.12,43.79,16,1.871,0
WFR-1390,FAB-BATCH-106,08-08-2026 21:32,1.2269,149.93,451.67,12.945,2230.2,22.16,356.47,25.02,0.0488,11.77,776.95,13.64,45.25,9,1.841,0
WFR-1391,FAB-BATCH-106,08-08-2026 22:00,1.2141,152.46,431.08,11.925,2122.3,23.58,349.04,24.57,0.0647,12.35,773.41,12.93,45.24,27,1.893,0
WFR-1392,FAB-BATCH-106,08-08-2026 22:28,1.2697,,440.37,11.647,2199.8,25.92,362.11,24.88,0.0764,12.48,776.61,13.21,46.76,21,1.793,0
WFR-1393,FAB-BATCH-106,08-08-2026 22:56,1.1972,148.04,449.11,12.101,2136.4,21.96,348.26,24.48,0.066,11.95,777.11,12.91,42.59,22,1.963,0
WFR-1394,FAB-BATCH-106,08-08-2026 23:24,1.3233,149.51,449.09,12.413,2173.4,22.87,349.75,24.92,0.0407,11.96,774.12,11.38,44.89,19,1.897,0
WFR-1395,FAB-BATCH-106,08-08-2026 23:52,1.2972,149.6,473.67,11.755,2163.9,21.58,351.36,24.23,0.0417,12.23,775.04,13.95,43.86,20,1.865,0
WFR-1396,FAB-BATCH-106,09-08-2026 00:20,1.2312,148.33,433.37,12.493,2232.4,24.9,355.61,24.72,0.0481,12.28,773.38,13.46,46.3,13,1.78,0
WFR-1397,FAB-BATCH-106,09-08-2026 00:48,1.1815,148.84,456.07,11.318,2204.7,29.21,355.1,23.29,0.0714,12.59,779.13,13.6,46.13,19,1.932,0
WFR-1398,FAB-BATCH-106,09-08-2026 01:16,1.3042,157.19,467.87,11.716,2148.6,26.86,346.2,23.95,0.048,11.36,774.7,14.02,45.76,13,1.871,0
WFR-1399,FAB-BATCH-106,09-08-2026 01:44,1.2454,152.52,477.26,12.97,2235.2,24.97,345.74,23.96,0.0341,12.01,772.69,13,43.94,19,1.774,0
WFR-1400,FAB-BATCH-106,09-08-2026 02:12,1.2995,148.67,445.15,12.923,2142.6,27.23,355.12,24.2,0.044,11.47,773.21,14.28,46.33,9,1.844,0
WFR-1401,FAB-BATCH-106,09-08-2026 02:40,1.1862,153.14,455.9,12.226,2213.2,25.77,355.72,23.76,0.0591,11.97,775.32,12.95,42.7,14,1.913,0
WFR-1402,FAB-BATCH-106,09-08-2026 03:08,1.226,148.5,456.84,11.788,2167.4,27.05,346.85,24.07,0.0583,11.89,776.88,12.24,42.4,11,1.905,0
WFR-1403,FAB-BATCH-106,09-08-2026 03:36,1.2502,155.28,452.35,11.781,2185.4,30.63,337.3,23.29,0.0476,11.98,771.66,12.49,43.09,20,1.899,0
WFR-1404,FAB-BATCH-106,09-08-2026 04:04,1.2519,151.66,448.81,12.239,2220.2,28.05,348.34,24.94,0.0582,11.6,779.62,12.47,44.95,19,1.859,0
WFR-1405,FAB-BATCH-106,09-08-2026 04:32,1.232,149.52,455.23,12.951,2220.9,33.18,354.99,24.43,0.0227,11.26,775.77,11.88,46.01,17,1.953,0
WFR-1406,FAB-BATCH-106,09-08-2026 05:00,1.2749,152.01,419.61,13.15,2253.5,31.36,364.44,23.14,0.0512,10.95,776.17,14.46,40.54,17,1.974,0
WFR-1407,FAB-BATCH-106,09-08-2026 05:28,1.2073,142.93,458.18,12.152,2196.7,32.22,340.42,23.83,0.0603,11.93,774.76,12.86,46.98,11,1.924,0
WFR-1408,FAB-BATCH-106,09-08-2026 05:56,1.2443,144.93,451.51,11.693,2212.3,32.04,346.59,24.77,0.04,11.78,775.05,12.61,45.2,19,1.791,0
WFR-1409,FAB-BATCH-106,09-08-2026 06:24,1.2548,144.63,447.33,12.687,2182.5,34.7,346.88,24.07,,11.66,774.63,12.97,42.65,20,1.744,0
WFR-1410,FAB-BATCH-106,09-08-2026 06:52,1.2706,150.64,474.56,11.924,2207.3,35.27,360.85,23.94,,12.66,777.54,16.08,45.15,13,1.796,0
WFR-1411,FAB-BATCH-106,09-08-2026 07:20,1.2785,157.8,441.9,12.137,2217.6,34.92,349.72,24.44,0.0691,11.57,774.98,11.14,46.64,13,2.045,0
WFR-1412,FAB-BATCH-106,09-08-2026 07:48,1.205,160.04,445.16,13.428,2196.1,35.93,342.74,24.77,0.0414,12.71,776.92,11.49,45.9,18,1.878,0
WFR-1413,FAB-BATCH-106,09-08-2026 08:16,1.1886,152.87,473.9,13.079,2127.8,34.93,354.47,23.35,0.0529,12.81,773.92,10.84,46.65,11,2.063,0
WFR-1414,FAB-BATCH-106,09-08-2026 08:44,1.3011,152.25,440.02,12.611,2213.3,36.98,346.76,24.94,0.0572,11.02,775.49,12.22,42.95,19,1.838,0
WFR-1415,FAB-BATCH-106,09-08-2026 09:12,1.2633,141.9,443.4,11.61,2214.6,35.77,340.2,23.86,0.0681,12.05,772.99,12.79,44.38,15,1.824,0
WFR-1416,FAB-BATCH-106,09-08-2026 09:40,1.2201,147.56,448.24,12.648,2172.8,37,342.86,24.49,0.0482,11.8,778.04,11.94,43.61,15,1.843,0
WFR-1417,FAB-BATCH-106,09-08-2026 10:08,1.312,146.45,460.09,13.244,2148.6,37,363.87,24.47,0.0435,10.54,772.92,11.85,47.58,16,1.841,0
WFR-1418,FAB-BATCH-106,09-08-2026 10:36,1.2546,147.21,452.49,12.237,2259,37.19,353.07,24.08,0.0521,11.28,774.19,12.67,45.96,13,1.773,0
WFR-1419,FAB-BATCH-106,09-08-2026 11:04,1.2972,149.24,434.49,13.446,2219.7,37.27,350.86,23.68,0.0654,12.39,774.21,11.9,49.27,20,1.735,0
WFR-1420,FAB-BATCH-106,09-08-2026 11:32,1.2527,147.88,443.61,13.405,2190.8,40.14,348,24.27,0.048,13.01,774.12,12.87,44.3,17,1.9,0
WFR-1421,FAB-BATCH-106,09-08-2026 12:00,1.3324,141.09,442.71,13.665,2154.5,42.37,352.34,25.8,0.0385,12.45,776.81,13.84,43.91,18,1.955,0
WFR-1422,FAB-BATCH-106,09-08-2026 12:28,1.3202,153.37,449.07,12.714,2167.1,42.64,352.24,23.41,0.0315,12.16,774.21,13.31,44.79,12,2.094,0
WFR-1423,FAB-BATCH-106,09-08-2026 12:56,1.24,145.17,455.11,12.911,2252.1,38.34,352.34,25.85,0.0353,11.99,778.48,13.56,47.07,17,1.807,0
WFR-1424,FAB-BATCH-106,09-08-2026 13:24,1.2889,151.08,455.02,13.49,2205.5,43.98,350.92,24.29,0.0604,12.84,772.95,13.8,44.45,17,1.815,0
WFR-1425,FAB-BATCH-106,09-08-2026 13:52,1.2758,159.33,428.69,12.813,2178,41.31,356.95,24.53,0.0462,13.07,775.42,12.84,45.19,11,1.773,0
WFR-1426,FAB-BATCH-106,09-08-2026 14:20,1.3047,145.86,462.77,12.149,2220.4,43.7,350.18,23.63,0.0427,11.71,773.06,12.31,45.15,13,1.963,0
WFR-1427,FAB-BATCH-106,09-08-2026 14:48,1.2114,138.61,453.03,12.186,2167.4,41.24,342.18,23.88,0.0414,11,776.05,11.57,45.06,15,1.931,0
WFR-1428,FAB-BATCH-106,09-08-2026 15:16,1.2774,148.71,466.61,12.667,2260,43.88,345.1,24.1,0.051,10.95,774.96,12.03,44.02,22,1.762,1
WFR-1429,FAB-BATCH-106,09-08-2026 15:44,1.2923,154.95,455.33,11.597,2254.1,44.78,334.17,23.66,0.0471,12.66,774.61,11.87,44.79,14,1.76,0
WFR-1430,FAB-BATCH-106,09-08-2026 16:12,1.1797,158.81,463.22,12.4,2181.3,41.73,366.21,24.33,0.0467,11.98,777.97,13.38,44.73,18,1.945,0
WFR-1431,FAB-BATCH-106,09-08-2026 16:40,1.2027,144.47,455.6,13.268,2174.9,46.47,356.9,24.17,0.0662,12.09,773.36,12.92,44.99,17,1.888,0
WFR-1432,FAB-BATCH-106,09-08-2026 17:08,1.1684,152.24,466.15,10.966,2095.3,48.49,343.36,25.98,0.0685,11.1,776.47,13.34,46.42,20,1.926,1
WFR-1433,FAB-BATCH-106,09-08-2026 17:36,1.2392,147.91,456.27,13.574,2140.7,46,347.75,23.57,0.0307,11.62,773.08,11.11,47.64,23,1.762,0
WFR-1434,FAB-BATCH-106,09-08-2026 18:04,1.2787,149.52,448.83,13.286,2146.4,49.62,344.9,24.58,0.0539,11.85,775.28,14.22,43.74,15,1.662,0
WFR-1435,FAB-BATCH-106,09-08-2026 18:32,1.3101,161.9,477.27,12.178,2205.4,47.07,362.34,24.7,0.0407,12.1,772.01,11.99,44.41,16,1.763,0
WFR-1436,FAB-BATCH-106,09-08-2026 19:00,1.253,143.24,460.67,12.88,2187,49.7,338.64,23.64,0.047,11.8,773.34,11.18,43.76,27,1.919,0
WFR-1437,FAB-BATCH-106,09-08-2026 19:28,1.3151,151.14,456.88,12.502,2146.2,44.11,350.92,25.05,0.0537,11.48,774.79,11.97,45.28,12,2.061,0
WFR-1438,FAB-BATCH-106,09-08-2026 19:56,1.1948,152.1,434.68,13.361,2188.8,53.94,349.13,24.18,0.0474,11.61,779.54,15.48,44.19,15,1.807,0
WFR-1439,FAB-BATCH-106,09-08-2026 20:24,1.1819,154.89,434.54,13.188,2220.2,52.64,356.61,22.51,0.0528,12.6,775.25,12.03,45.36,14,2.078,0
WFR-1440,FAB-BATCH-106,09-08-2026 20:52,1.2478,150.44,453.51,11.52,2221.1,49.63,349.17,25.03,0.0581,12.12,779.14,12.11,46.66,15,1.933,0
WFR-1441,FAB-BATCH-106,09-08-2026 21:20,1.2654,151.39,451.75,12.911,2124,46.81,335.93,23.61,0.0535,12.31,775.55,12.27,41.21,21,1.711,0
WFR-1442,FAB-BATCH-106,09-08-2026 21:48,1.2487,148.24,442.63,12.356,2194.9,51.88,347.99,23.66,0.0422,11.55,774.03,12.32,45.74,14,1.871,0
WFR-1443,FAB-BATCH-106,09-08-2026 22:16,1.1673,151.21,451.69,12.558,2144.7,48.96,342.22,25.05,0.0424,10.52,778.85,11.56,44.31,21,1.936,0
WFR-1444,FAB-BATCH-106,09-08-2026 22:44,1.2464,148.46,469.06,11.99,2236.1,53.29,350.64,24.22,0.0327,11.74,776.09,12.67,45.69,12,1.607,0
WFR-1445,FAB-BATCH-106,09-08-2026 23:12,1.1978,152.8,458.34,13.724,2231.4,53.77,361.47,25.23,0.0398,11.57,773.39,13.79,43.66,11,1.914,0
WFR-1446,FAB-BATCH-106,09-08-2026 23:40,1.2768,148.34,436.31,13.228,2164.1,51.62,336.08,25.47,0.0735,12.17,776.18,12.88,46.79,12,1.967,0
WFR-1447,FAB-BATCH-106,10-08-2026 00:08,1.2647,151.7,448.66,11.982,2169.4,56.29,343.6,23.98,0.0405,13.64,774.27,11.17,46.37,18,1.89,0
WFR-1448,FAB-BATCH-106,10-08-2026 00:36,1.2124,149.87,440.34,11.566,2181.5,56.21,345.58,25.13,0.0357,12.35,770.03,12.09,45.85,18,1.844,0
WFR-1449,FAB-BATCH-106,10-08-2026 01:04,1.2294,155.07,445.35,12.23,2109.9,57.1,346.95,23.9,0.0538,13.37,777.34,11.84,46.19,15,1.833,0
WFR-1450,FAB-BATCH-106,10-08-2026 01:32,1.2076,149.77,445.04,12.804,2213.4,55.72,355.92,26.29,0.0487,12.28,777.74,12.56,43.88,16,1.827,0
WFR-1451,FAB-BATCH-107,10-08-2026 02:00,1.2475,142.02,444.27,12.668,2189.1,12.17,348.61,23.95,0.0477,11.69,779.59,14.1,44.07,17,1.732,0
WFR-1452,FAB-BATCH-107,10-08-2026 02:28,1.2882,155.68,434.94,13.377,2238.8,17.51,353.33,25.32,0.0669,12.17,776.06,12.32,46.13,14,1.781,0
WFR-1453,FAB-BATCH-107,10-08-2026 02:56,1.2106,145.92,448.47,13.053,2156.1,15.56,344.99,25.18,0.0566,12.89,774.38,12.39,43.85,12,1.808,0
WFR-1454,FAB-BATCH-107,10-08-2026 03:24,1.2702,,443.27,13.179,2175.2,13.87,351.84,24.75,0.0436,12.91,777.09,14.63,47.17,10,1.861,0
WFR-1455,FAB-BATCH-107,10-08-2026 03:52,1.2288,147.32,414.85,12.729,2139.7,19.9,356.22,23.96,0.0449,11.71,777.12,13.55,44.51,15,1.794,0
WFR-1456,FAB-BATCH-107,10-08-2026 04:20,1.2183,156.18,474.64,11.527,2159.8,21.95,344.14,24.38,0.044,12.13,779.1,13.19,45.75,14,1.763,0
WFR-1457,FAB-BATCH-107,10-08-2026 04:48,1.2457,140.39,463.07,12.363,2152.7,18.22,356.25,22.78,0.0605,11.29,774.89,14.85,48.15,5,1.926,0
WFR-1458,FAB-BATCH-107,10-08-2026 05:16,1.2086,,445.48,13.242,2239.8,23.17,350.42,24.68,0.0463,12.41,774.59,13.09,43.94,13,1.887,0
WFR-1459,FAB-BATCH-107,10-08-2026 05:44,1.2279,154.75,450.23,12.464,2172.1,19.58,358.36,24.78,0.0285,12.78,773.21,10.12,45.1,20,1.796,0
WFR-1460,FAB-BATCH-107,10-08-2026 06:12,1.2021,151,435.94,12.852,2205,19.19,348.39,24.61,0.0494,12.02,776.34,13.5,46.58,17,1.901,0
WFR-1461,FAB-BATCH-107,10-08-2026 06:40,1.3286,,470.35,12.277,2184.8,19.24,353.05,22.12,0.0316,11.67,771.13,10.59,46.43,15,1.805,0
WFR-1462,FAB-BATCH-107,10-08-2026 07:08,1.2514,151.28,472.77,11.779,2149.2,24.32,349.68,23.49,0.0762,12.18,776.94,13.04,44.51,17,1.856,1
WFR-1463,FAB-BATCH-107,10-08-2026 07:36,1.222,152.35,451.88,12.414,2193.3,20.04,349.23,23.9,0.0384,12.21,776.47,10.44,44.22,11,1.948,0
WFR-1464,FAB-BATCH-107,10-08-2026 08:04,1.2586,152.9,462.28,12.716,2224,23.62,352.07,24.73,0.0481,12.04,776.46,11.94,44.65,16,1.79,0
WFR-1465,FAB-BATCH-107,10-08-2026 08:32,1.2455,152.5,452.1,12.041,2151.7,21.58,354.29,24.73,0.0531,12.09,775.35,12.06,47.17,14,1.733,0
WFR-1466,FAB-BATCH-107,10-08-2026 09:00,1.2412,150.4,433.96,12.335,2232.4,22.33,340,24.36,0.0465,11.91,778.83,11.58,44.58,12,1.835,0
WFR-1467,FAB-BATCH-107,10-08-2026 09:28,1.2746,149.11,445.06,11.842,2166,25.86,361.47,25.01,0.0465,12.5,777.18,12.08,45.12,17,1.714,0
WFR-1468,FAB-BATCH-107,10-08-2026 09:56,1.2803,149.32,451.58,13.283,2180.7,23.59,335.12,23.68,0.0551,12.37,773.48,13.74,44.36,13,1.822,0
WFR-1469,FAB-BATCH-107,10-08-2026 10:24,1.2288,149.12,444.55,12.294,2221.2,24.09,344.52,24.99,,11.51,773.53,11.64,46.06,11,1.822,0
WFR-1470,FAB-BATCH-107,10-08-2026 10:52,1.227,155.1,447.38,13.517,2173.5,27.72,349.25,24.88,0.0592,11.49,772.8,13.15,45.23,10,1.604,0
WFR-1471,FAB-BATCH-107,10-08-2026 11:20,1.239,152.67,448.9,13.57,2201.5,29.19,353.3,24.8,0.0677,11.87,776.38,11.34,43.49,18,1.903,0
WFR-1472,FAB-BATCH-107,10-08-2026 11:48,1.1579,,449.03,12.443,2187.4,27.84,362.61,24.35,0.0374,12.37,772.5,12.27,43.55,12,1.832,0
WFR-1473,FAB-BATCH-107,10-08-2026 12:16,1.1894,152.95,450.63,11.794,2205.2,25.79,335.13,25.96,0.0538,12.07,777.71,12.89,42,15,1.968,0
WFR-1474,FAB-BATCH-107,10-08-2026 12:44,1.3047,150.88,437.27,11.04,2104.8,26.63,345.94,24.89,0.0519,11.68,778.31,11.3,43.75,14,1.872,0
WFR-1475,FAB-BATCH-107,10-08-2026 13:12,1.3158,149.92,441.4,11.47,2126.8,28.36,332.99,23.73,0.0542,12.13,772.8,10.93,46.19,7,1.924,0
WFR-1476,FAB-BATCH-107,10-08-2026 13:40,1.24,148.25,434.58,11.538,2224.6,29.39,350.25,24.7,,11.83,774.54,13.09,46.99,18,1.969,0
WFR-1477,FAB-BATCH-107,10-08-2026 14:08,1.2731,155.06,461.73,13.465,2241.5,27.32,352.17,25.1,0.0474,12.44,775.04,13.85,46.03,11,1.837,0
WFR-1478,FAB-BATCH-107,10-08-2026 14:36,1.2625,154.26,424.73,12.581,2163.6,31.3,362.73,24.03,0.0451,12.17,777.21,12.41,45.83,13,1.85,0
WFR-1479,FAB-BATCH-107,10-08-2026 15:04,1.3732,146.52,463.84,12.773,2190.2,30.57,350.97,25.37,0.0564,11.84,779.02,11.95,44.81,13,1.693,0
WFR-1480,FAB-BATCH-107,10-08-2026 15:32,,151.83,466.64,10.946,2211.8,27.52,358.35,24.81,0.0287,12.12,770.79,12.69,46.16,14,1.974,0
WFR-1481,FAB-BATCH-107,10-08-2026 16:00,1.2449,145.63,446.37,11.661,2227.7,29.64,354.67,22.63,0.0472,12.66,774.2,12.57,45.43,8,1.835,0
WFR-1482,FAB-BATCH-107,10-08-2026 16:28,1.2118,143.79,418.76,13.121,2118.9,31.04,346.52,24.74,0.0484,11.72,774.33,12.79,47.71,14,1.749,0
WFR-1483,FAB-BATCH-107,10-08-2026 16:56,1.1857,147.18,445.66,12.701,2164.6,32.45,338.73,24.18,0.039,12.2,771.5,9.47,44.85,12,1.924,0
WFR-1484,FAB-BATCH-107,10-08-2026 17:24,1.2581,153.88,449.23,12.397,2186.7,36.93,352.2,24.93,0.0627,11.96,773.79,11.22,47.01,14,1.632,0
WFR-1485,FAB-BATCH-107,10-08-2026 17:52,1.2197,154.29,437.87,12.895,2228.1,34.18,338.06,25.26,0.0373,12.21,776.07,11.49,46.31,12,1.807,0
WFR-1486,FAB-BATCH-107,10-08-2026 18:20,1.1931,152.31,443.82,13.645,2299.9,32.57,360.36,24.66,0.0484,11.67,774.3,12.68,46.1,20,1.941,0
WFR-1487,FAB-BATCH-107,10-08-2026 18:48,1.2241,153.26,468.36,12.345,2190.9,35.24,348.7,25.83,0.0535,12.06,771.14,12.72,41.98,14,1.806,0
WFR-1488,FAB-BATCH-107,10-08-2026 19:16,1.2067,152.32,457.98,12.549,2143.7,34.65,359.56,24.36,0.0662,12.55,782.19,13.26,46.39,9,1.778,0
WFR-1489,FAB-BATCH-107,10-08-2026 19:44,1.3175,147.11,438.91,12.635,2216.1,36.55,346.16,25,0.0499,11.53,775.67,12.81,44.81,18,1.808,0
WFR-1490,FAB-BATCH-107,10-08-2026 20:12,1.2853,151.94,430.83,14.174,2252.8,37.61,352.15,25.14,0.0612,11.34,775.28,10.94,44.33,7,1.649,0
WFR-1491,FAB-BATCH-107,10-08-2026 20:40,1.2497,153.6,446.08,11.03,2204.3,39.42,351.67,24.42,0.0584,11.35,772.26,14.24,42.78,15,1.922,0
WFR-1492,FAB-BATCH-107,10-08-2026 21:08,1.3092,153.39,447.44,12.978,2163.7,37.5,349.64,25.12,0.0515,11.41,775.65,14.03,44.99,14,1.838,0
WFR-1493,FAB-BATCH-107,10-08-2026 21:36,1.2531,,455.95,12.42,2238.3,41.38,346.54,24.02,0.0369,12.3,774.59,10.99,45.05,14,1.823,0
WFR-1494,FAB-BATCH-107,10-08-2026 22:04,1.2155,153.19,443.58,12.897,2226.5,40.47,353.14,24.16,0.0328,11.3,770.28,12.9,43.05,10,1.823,0
WFR-1495,FAB-BATCH-107,10-08-2026 22:32,1.3109,151.58,456.14,12.04,2159,37.79,342.59,23.45,0.0513,11.85,772.32,11.79,42.79,17,1.851,0
WFR-1496,FAB-BATCH-107,10-08-2026 23:00,1.2716,154.82,473.22,12.466,2215.3,44.17,340.32,24.69,0.0435,12.31,776.99,12.67,45.73,15,1.915,0
WFR-1497,FAB-BATCH-107,10-08-2026 23:28,1.2085,149.88,459.79,12.998,2239.9,40.95,359.94,24.76,0.061,12.21,779.86,13.76,46.31,15,1.845,0
WFR-1498,FAB-BATCH-107,10-08-2026 23:56,1.2424,146.03,449.42,14.679,2247.3,39.18,355.82,25.44,0.059,11.81,775.92,15.06,45.29,16,1.714,0
WFR-1499,FAB-BATCH-107,11-08-2026 00:24,1.215,149.27,447.8,13.066,2197.3,44.71,350.53,25.13,0.0478,12.1,777.76,13.4,46.73,10,1.908,0
WFR-1500,FAB-BATCH-107,11-08-2026 00:52,1.1947,146.65,445.72,11.906,2185.7,46.11,363.32,24.27,0.0361,12.05,774.61,12.85,44.87,12,1.9,0
WFR-1501,FAB-BATCH-107,11-08-2026 01:20,1.287,146.96,464.17,12.203,2249.1,42.43,347.86,23.56,0.0561,11.89,774.78,12.09,44.92,13,1.871,1
WFR-1502,FAB-BATCH-107,11-08-2026 01:48,1.3264,149.35,442.47,12.183,2151.6,42.04,360.58,24.85,0.0378,11.89,777.73,12.72,43.62,16,1.958,0
WFR-1503,FAB-BATCH-107,11-08-2026 02:16,1.1941,146.43,450.54,11.243,2217.5,43.26,351.4,25.39,0.0409,13.12,779.16,14.13,42.66,15,1.853,0
WFR-1504,FAB-BATCH-107,11-08-2026 02:44,1.2725,148.61,450.61,12.269,2145.2,45.58,341.8,25.1,0.0382,12.4,778.25,12.45,47.78,15,1.961,0
WFR-1505,FAB-BATCH-107,11-08-2026 03:12,1.224,141.48,443.98,13.013,2242.6,47.26,364.78,25.37,0.0483,13.24,772.33,11.44,46.7,11,1.991,0
WFR-1506,FAB-BATCH-107,11-08-2026 03:40,1.2305,150.96,433.53,11.608,2189.7,46.39,357.93,24.33,0.064,11.75,774.83,10.56,42.91,13,1.908,0
WFR-1507,FAB-BATCH-107,11-08-2026 04:08,1.2263,150.01,453.88,13.234,2250.7,46,349.03,24.13,0.0499,11.96,775.69,13.12,45.23,13,1.775,0
WFR-1508,FAB-BATCH-107,11-08-2026 04:36,1.2154,146.32,449.27,12.841,2219.7,49.35,355.82,23.91,0.0447,11.33,774.35,12.8,44.85,12,1.837,0
WFR-1509,FAB-BATCH-107,11-08-2026 05:04,1.2519,152.97,456,11.986,2151.1,46.27,346.77,24.46,0.0317,11.6,775.97,11.72,44.59,14,1.974,0
WFR-1510,FAB-BATCH-107,11-08-2026 05:32,1.2168,154.22,443.6,12.401,2257,49.51,356.63,24.44,0.0566,12.95,777.05,13.73,44.39,15,1.7,0
WFR-1511,FAB-BATCH-107,11-08-2026 06:00,1.2608,142.77,464.65,13.619,2262,47.42,330.87,24.67,0.0406,11.74,777.51,11.99,45.57,12,1.811,0
WFR-1512,FAB-BATCH-107,11-08-2026 06:28,1.248,146.57,439.48,13.013,2235.3,49.41,341.84,24.4,0.0514,12.96,779.21,12.34,46.23,16,1.816,0
WFR-1513,FAB-BATCH-107,11-08-2026 06:56,1.2404,,470.54,12.506,2169.5,48.87,357.83,24.39,0.0457,11.38,774.18,12.48,45.6,12,1.763,0
WFR-1514,FAB-BATCH-107,11-08-2026 07:24,1.2137,145.77,429.03,12.334,2187.8,49.54,348,23.88,0.0601,11.47,771.59,12.08,44.82,8,1.937,0
WFR-1515,FAB-BATCH-107,11-08-2026 07:52,1.2269,153.73,455.22,12.554,2205.8,49.45,351.66,25.25,0.0481,11.83,775.9,12.78,44.76,14,1.888,0
WFR-1516,FAB-BATCH-107,11-08-2026 08:20,1.2802,149.13,455.71,12.142,2171.9,53.44,339.23,24.56,0.0493,11.97,779.71,13.88,46.41,24,1.779,0
WFR-1517,FAB-BATCH-107,11-08-2026 08:48,1.27,148.81,440.45,11.027,2267.7,49.83,364.78,24.36,0.0558,12.46,773.81,11.13,45.7,16,1.911,0
WFR-1518,FAB-BATCH-107,11-08-2026 09:16,1.2109,140.98,455.09,13.93,2205.8,50.37,359.52,23.9,0.0753,12.23,776.72,13.09,45.11,9,1.834,0
WFR-1519,FAB-BATCH-107,11-08-2026 09:44,1.254,152.86,465.35,12.609,2091.9,56.64,348.39,23.43,0.0607,11.79,776.74,12.71,44.95,18,1.761,0
WFR-1520,FAB-BATCH-107,11-08-2026 10:12,1.2801,144.42,423.4,12.779,2213.6,54.91,346.76,25.55,0.0489,11.93,775.48,12.68,45.52,14,1.779,0
WFR-1521,FAB-BATCH-107,11-08-2026 10:40,1.1832,150.27,456.03,12.459,2186.1,48.73,358.24,24.94,0.05,11.84,775.02,13.55,44.3,18,1.894,0
WFR-1522,FAB-BATCH-107,11-08-2026 11:08,1.2717,151.25,420.08,11.985,2197,52.92,365.86,23.2,0.0437,11.54,772.69,12.56,46.23,19,1.944,0
WFR-1523,FAB-BATCH-107,11-08-2026 11:36,1.2235,156.12,438.41,12.37,2185.3,50.98,357.63,25.11,0.0386,11.56,769.3,13.08,43.39,13,1.801,0
WFR-1524,FAB-BATCH-107,11-08-2026 12:04,1.2728,144.11,469.55,11.38,2232.3,53.25,367.37,25.24,0.0434,12.51,772.22,13.36,44.38,15,1.904,0
WFR-1525,FAB-BATCH-107,11-08-2026 12:32,1.2195,136.41,443.02,14.094,2244.8,49.42,342.62,24.6,0.0407,11.09,774.02,11.89,45.92,14,2.008,0
WFR-1526,FAB-BATCH-108,11-08-2026 13:00,1.1778,150.83,457.91,11.636,2211.3,14.73,343.44,25.78,0.0928,12.81,777.74,12.86,43.3,13,1.724,1
WFR-1527,FAB-BATCH-108,11-08-2026 13:28,1.1849,158.1,447.62,11.778,2186.4,13.27,340.49,24.67,0.0371,11.83,774.74,12.2,42.64,15,1.886,0
WFR-1528,FAB-BATCH-108,11-08-2026 13:56,1.2519,155.58,474.81,12.192,2198.3,16.22,353.53,23.37,0.101,11.61,773.7,12.34,45.09,15,1.933,0
WFR-1529,FAB-BATCH-108,11-08-2026 14:24,1.2604,150.94,450.02,13.402,2200.8,13.4,351.4,24.79,0.094,12.37,772.77,12.11,42.46,16,1.84,0
WFR-1530,FAB-BATCH-108,11-08-2026 14:52,1.2138,,459.38,12.51,2167.9,17.37,348.78,24.7,0.0502,12.74,776.64,13.07,43.05,14,1.974,0
WFR-1531,FAB-BATCH-108,11-08-2026 15:20,1.2755,153.63,489.97,11.635,2223.2,16.92,356.47,24.02,0.05,12.56,778.4,12.6,46.13,8,2.07,0
WFR-1532,FAB-BATCH-108,11-08-2026 15:48,1.1835,145.62,494.29,13.378,2218.4,21.3,359.86,24.96,0.0433,12.25,777.66,12.97,44.69,10,1.884,0
WFR-1533,FAB-BATCH-108,11-08-2026 16:16,1.2474,152.14,470.76,13.012,2261.6,21.67,337.79,23.17,0.0882,12.54,776.52,12.48,46.93,11,1.827,0
WFR-1534,FAB-BATCH-108,11-08-2026 16:44,1.2016,152.27,435.13,12.877,2250.2,20.97,345.22,25.29,0.0981,11.14,771.31,10.58,43.19,17,1.948,0
WFR-1535,FAB-BATCH-108,11-08-2026 17:12,1.2239,154.77,497.15,13.001,2172.6,19.3,356.56,23.8,0.0416,11.74,774.12,12.54,44.86,16,1.934,0
WFR-1536,FAB-BATCH-108,11-08-2026 17:40,1.2519,162.42,469.13,14.176,2232.8,24.47,346.26,23.71,0.0666,11.54,779.87,12.58,45.6,11,1.598,0
WFR-1537,FAB-BATCH-108,11-08-2026 18:08,1.2156,151.77,480.15,14.03,2162,17.94,343.61,24.41,0.0584,12.61,777.8,12.79,43.24,12,1.85,0
